block_size,blocks,compress_seconds,compression_ratio,elapsed_s,input,input_bytes,level,max_rss_kb,output_bytes,repeat,threads,throughput_mbps
900000,1204,80.79907,0.23390329791725578,81.94,bench_large_1g.bin,1082774528,9,1321016,253264533,0,1,13.400829093701201
900000,1204,80.945744,0.23390329791725578,82.17,bench_large_1g.bin,1082774528,9,1321160,253264533,1,1,13.376546739751998
900000,1204,80.778383,0.23390329791725578,81.98,bench_large_1g.bin,1082774528,9,1321012,253264533,2,1,13.404260988982656
900000,1204,40.775236,0.23390329791725578,42.04,bench_large_1g.bin,1082774528,9,1395052,253264533,0,2,26.554709039574902
900000,1204,40.401797,0.23390329791725578,41.61,bench_large_1g.bin,1082774528,9,1394804,253264533,1,2,26.800157626652098
900000,1204,40.701912,0.23390329791725578,41.58,bench_large_1g.bin,1082774528,9,1395472,253264533,2,2,26.602547025309274
900000,1204,21.039152,0.23390329791725578,22.31,bench_large_1g.bin,1082774528,9,1428948,253264533,0,4,51.464741924959704
900000,1204,20.555788,0.23390329791725578,21.71,bench_large_1g.bin,1082774528,9,1423468,253264533,1,4,52.67492192466666
900000,1204,20.8028,0.23390329791725578,22.07,bench_large_1g.bin,1082774528,9,1428416,253264533,2,4,52.04946103409156
900000,1204,10.724752,0.23390329791725578,12.07,bench_large_1g.bin,1082774528,9,1428420,253264533,0,8,100.96033250932048
900000,1204,10.351492,0.23390329791725578,11.57,bench_large_1g.bin,1082774528,9,1441832,253264533,1,8,104.60081773719189
900000,1204,10.504839,0.23390329791725578,11.46,bench_large_1g.bin,1082774528,9,1424636,253264533,2,8,103.07388128461558
900000,1204,5.53001,0.23390329791725578,6.65,bench_large_1g.bin,1082774528,9,1487956,253264533,0,16,195.79974141095585
900000,1204,5.564498,0.23390329791725578,6.46,bench_large_1g.bin,1082774528,9,1484056,253264533,1,16,194.58620130692827
900000,1204,5.466734,0.23390329791725578,6.61,bench_large_1g.bin,1082774528,9,1487816,253264533,2,16,198.06607162521533
900000,1204,3.207292,0.23390329791725578,4.36,bench_large_1g.bin,1082774528,9,1498988,253264533,0,32,337.5977391519076
900000,1204,3.033051,0.23390329791725578,3.97,bench_large_1g.bin,1082774528,9,1508556,253264533,1,32,356.99186330859584
900000,1204,2.932404,0.23390329791725578,3.86,bench_large_1g.bin,1082774528,9,1503924,253264533,2,32,369.2446634229117
