block_size,blocks,compress_seconds,compression_ratio,elapsed_s,input,input_bytes,level,max_rss_kb,output_bytes,repeat,threads,throughput_mbps
900000,299,63.634957,0.0003049522638320923,63.92,text_256.bin,268435456,9,271872,81860,0,1,4.218364695367045
900000,299,63.221951,0.0003049522638320923,63.46,text_256.bin,268435456,9,271872,81860,1,1,4.245921736897996
900000,299,61.516177,0.0003049522638320923,61.75,text_256.bin,268435456,9,271872,81860,2,1,4.363656343598855
900000,299,31.489296,0.0003049522638320923,31.74,text_256.bin,268435456,9,277632,81860,0,2,8.524657267663272
900000,299,31.433604,0.0003049522638320923,31.69,text_256.bin,268435456,9,277632,81860,1,2,8.539760696864413
900000,299,31.740731,0.0003049522638320923,32.0,text_256.bin,268435456,9,277632,81860,2,2,8.457128980425813
900000,299,16.509512,0.0003049522638320923,16.77,text_256.bin,268435456,9,291456,81860,0,4,16.259442193082386
900000,299,16.74012,0.0003049522638320923,17.0,text_256.bin,268435456,9,291456,81860,1,4,16.03545589876297
900000,299,16.438265,0.0003049522638320923,16.63,text_256.bin,268435456,9,291456,81860,2,4,16.32991413631548
900000,299,8.770643,0.0003049522638320923,9.02,text_256.bin,268435456,9,317952,81860,0,8,30.606131842329006
900000,299,8.650277,0.0003049522638320923,8.84,text_256.bin,268435456,9,319104,81860,1,8,31.032006951916102
900000,299,8.711889,0.0003049522638320923,8.98,text_256.bin,268435456,9,319104,81860,2,8,30.81254318093355
900000,299,5.201059,0.0003049522638320923,5.4,text_256.bin,268435456,9,374400,81860,0,16,51.61169215730873
900000,299,5.067647,0.0003049522638320923,5.28,text_256.bin,268435456,9,374400,81860,1,16,52.9704330234525
900000,299,5.320199,0.0003049522638320923,5.53,text_256.bin,268435456,9,374400,81860,2,16,50.4559051268571
900000,299,3.383579,0.0003049522638320923,3.61,text_256.bin,268435456,9,484992,81860,0,32,79.3347683030306
900000,299,3.334985,0.0003049522638320923,3.57,text_256.bin,268435456,9,484992,81860,1,32,80.49075363157554
900000,299,3.431917,0.0003049522638320923,3.65,text_256.bin,268435456,9,483840,81860,2,32,78.21735082754041
