block_size,blocks,compress_seconds,compression_ratio,elapsed_s,input,input_bytes,level,max_rss_kb,output_bytes,repeat,threads,throughput_mbps
900000,1204,81.719675,0.23390329791725578,81.73,bench_large_1g.bin,1082774528,9,1320740,253264533,0,1,13.24986336521774
900000,1204,82.036098,0.23390329791725578,82.2,bench_large_1g.bin,1082774528,9,1321084,253264533,1,1,13.198757064237745
900000,1204,81.553502,0.23390329791725578,81.72,bench_large_1g.bin,1082774528,9,1321080,253264533,2,1,13.276861219276642
900000,1204,40.646223,0.23390329791725578,40.73,bench_large_1g.bin,1082774528,9,22360,253264533,0,2,26.63899491965096
900000,1204,40.332072,0.23390329791725578,40.43,bench_large_1g.bin,1082774528,9,22628,253264533,1,2,26.846489017474727
900000,1204,40.88883,0.23390329791725578,41.03,bench_large_1g.bin,1082774528,9,22312,253264533,2,2,26.480936920914587
900000,1204,20.806778,0.23390329791725578,20.96,bench_large_1g.bin,1082774528,9,43920,253264533,0,4,52.03950981742583
900000,1204,20.677565,0.23390329791725578,20.79,bench_large_1g.bin,1082774528,9,43912,253264533,1,4,52.36470193661584
900000,1204,20.724119,0.23390329791725578,20.79,bench_large_1g.bin,1082774528,9,43912,253264533,2,4,52.24707154017017
900000,1204,10.863604,0.23390329791725578,11.02,bench_large_1g.bin,1082774528,9,83800,253264533,0,8,99.66991874887927
900000,1204,10.340873,0.23390329791725578,10.5,bench_large_1g.bin,1082774528,9,83912,253264533,1,8,104.70823188719172
900000,1204,10.305832,0.23390329791725578,10.38,bench_large_1g.bin,1082774528,9,83912,253264533,2,8,105.0642517751114
900000,1204,5.690271,0.23390329791725578,5.85,bench_large_1g.bin,1082774528,9,165976,253264533,0,16,190.28523035194632
900000,1204,5.471727,0.23390329791725578,5.62,bench_large_1g.bin,1082774528,9,165140,253264533,1,16,197.8853345570786
900000,1204,5.331279,0.23390329791725578,5.49,bench_large_1g.bin,1082774528,9,163676,253264533,2,16,203.09845498612995
900000,1204,3.714715,0.23390329791725578,3.87,bench_large_1g.bin,1082774528,9,329252,253264533,0,32,291.4825304229261
900000,1204,3.523508,0.23390329791725578,3.68,bench_large_1g.bin,1082774528,9,326868,253264533,1,32,307.3001474666724
900000,1204,3.232481,0.23390329791725578,3.38,bench_large_1g.bin,1082774528,9,327896,253264533,2,32,334.9670200691048
