block_size,blocks,compress_seconds,compression_ratio,elapsed_s,input,input_bytes,level,max_rss_kb,output_bytes,repeat,threads,throughput_mbps
900000,299,62.233942,0.0003049522638320923,62.23,text_256.bin,268435456,9,317248,81860,0,1,4.313328826253686
900000,299,62.388754,0.0003049522638320923,62.39,text_256.bin,268435456,9,317252,81860,1,1,4.30262569436793
900000,299,61.118475,0.0003049522638320923,61.12,text_256.bin,268435456,9,317096,81860,2,1,4.392050946951802
900000,299,31.195164,0.0003049522638320923,31.19,text_256.bin,268435456,9,23632,81860,0,2,8.60503429313595
900000,299,32.137852,0.0003049522638320923,32.14,text_256.bin,268435456,9,23864,81860,1,2,8.352625931565058
900000,299,32.418339,0.0003049522638320923,32.42,text_256.bin,268435456,9,23632,81860,2,2,8.280358102245767
900000,299,17.045422,0.0003049522638320923,17.04,text_256.bin,268435456,9,42804,81860,0,4,15.7482434873129
900000,299,18.362996,0.0003049522638320923,18.36,text_256.bin,268435456,9,44156,81860,1,4,14.618282114748595
900000,299,16.569972,0.0003049522638320923,16.57,text_256.bin,268435456,9,43640,81860,2,4,16.200115244612363
900000,299,9.669412,0.0003049522638320923,9.67,text_256.bin,268435456,9,85652,81860,0,8,27.76130089399438
900000,299,9.193669,0.0003049522638320923,9.19,text_256.bin,268435456,9,86104,81860,1,8,29.19785952702887
900000,299,8.969228,0.0003049522638320923,8.97,text_256.bin,268435456,9,87156,81860,2,8,29.928490612570002
900000,299,5.590248,0.0003049522638320923,5.59,text_256.bin,268435456,9,170568,81860,0,16,48.01852368624791
900000,299,5.47955,0.0003049522638320923,5.48,text_256.bin,268435456,9,169912,81860,1,16,48.9885950488635
900000,299,5.458369,0.0003049522638320923,5.46,text_256.bin,268435456,9,172400,81860,2,16,49.17869348884254
